###########################################################################
#Copyright 1999 The Internet Dictionary Project/Tyler Chambers
#http://www.june29.com/IDP/
#This file is free to use and modify.  Thank you for using the IDP.
#
#Approximately 5048 entries.  9/21/97
#Approximately 5488 entries.  1/7/98
#Approximately 5910 entries.  3/8/98
#Approximately 7450 entries.  2/19/99
###########################################################################
a	un, uno, una[Article]
mattress	materasso[Noun]
mattresses	materassi[Noun]
may	potere[Verb]
maybe	forse
mayhem	danni
mayonnaise	maionese
mayor	sindaco
mayors	sindaci
maze	labirinto
me	me, mi[Pronoun]
meadow	prato
meager	magro, scarso[Adjective]
meal	pasto
meals	pasti
mean	mèdia
meaning	significato
means	mèzzo
meantime	frattèmpo
meanwhile	mentre[Adjective]
measles	morbillo
measurability	misurabilità[Adjective]
measurable	misurabile[Adjective]
measure	misura
measured	misurato
measurement	misuramento
measurements	misurazioni
measuring	misuratore[Adjective]
meat	carne
mechanic	meccàaìnico
mechanical	meccànico[Adjective]
mechanism	meccanismo
mechanize	meccanizzare[Verb]
medal	medàglia
medical	mèdico[Adjective]
medicate	medicare[Verb]
medicine	medicina
mediocre	mediòcre[Adjective]
mediocrity	mediocrità
meditate	meditare[Verb]
meditation	meditazione
medium	mèzzo
metaphysics	metafisica[Noun]
meteorology	meteorologia[Noun]
meteors	meteore[Noun]
meter	metro[Noun]
meters	metri[Noun]
methadone	metadone[Noun]
methane	metano[Noun]
methanol	metanolo[Noun]
method	metodo[Noun]
methodic	metodico[Adjective]
methodical	metodico
methodically	metodicamente
methodists	metodista[Noun]
methodological	metodologico
methyl	metile
methylene	metilene
microphone	micròfono[Noun]
midget	nano[Noun]
midnight	mezzanòtte[Noun]
midriff	diaframma[Noun]
migration	migrazione[Noun]
migratory	migratòrio[Adjective]
mild	mite[Adjective]
mildew	muffa bianca[Noun]
mildness	mitezza[Noun]
mile	mìglio[Noun]
mileage	chilometràggio[Noun]
milestone	piètra miliare[Noun]
milk	latte
milky	làtteo[Adjective]
mill	mulino[Noun]
miller	mugnaio[Noun]
millesimal	millesimale
millibar	millibar
million	millione
misadventure	disgràzia[Noun]
misappropriate	appropriare indebitamente[Verb]
miscellaneous	miscellàneo[Adjective]
mischief	cattivèria[Noun]
mischievous	cattivo, malizioso[Adjective]
misconstrue	fraintèndere[Verb]
miscreant	miscredènte[Noun]
misdemeanor	contravvenzione[Noun]
missive	lettera, messaggio[Noun]
missives	lettere, messaggi[Noun]
mistake	errore[Noun]
mistreat	maltrattare, bistrattare[Verb]
mistress	padrona[Noun]
mistrust	sfidùcia[Noun]
misty	nebbioso[Adjective]
misunderstand	fraintèndere[Verb]
misuse	abusare di[Verb]
mite	pezzetino[Noun]
mitigate	mitigare[Verb]
model	modello[Noun]
modelled	modellato[Verb]
moderated	moderato[Adjective]
moderately	moderatamente[Adjective]
monday	lunedi
monotone	tono uniforme[Noun]
monotonous	monòtono[Adjective]
monotony	monotonìa[Adjective]
monoxide	monòssido[Noun]
monsoon	monsone[Noun]
monster	mostro[Noun]
monstrosity	mostruosittà[Noun]
monstrous	mostruoso[Adjective]
month	mese[Noun]
monthly	mensile[Adjective]
monument	monumento[Noun]
monumental	monumentale[Adjective]
mood	stato d'ànimo[Noun]
moody	triste[Adjective]
moon	luna
moonlight	chiaro di luna[Noun]
morphine	morfina[Noun]
mother	madre[Noun]
motherboard	Piastra Madre[Noun]
motherboard	scheda madre[Noun]
motherboards	Piastre madri[Noun]
motherboards	schede madri[Noun]
mothers	madri[Noun]
motion	movimento[Noun]
motor	motore[Noun]
motorbike	moto[Noun]
motorcar	automobile[Noun]
motorcar	macchina[Noun]
motorcycle	Motocicletta[Noun]
motorcycle	moto[Noun]
motorcycles	Motociclette[Noun]
motorcycles	moto[Noun]
motorcyclist	Motociclista[Noun]
motorized	motorizzato[Adjective]
motors	motori[Noun]
mount	arrampiccarsi
mountain	Montagna[Noun]
mountains	Montagne[Noun]
mouse	topo
mouses	topi[Noun]
mouth	bocca
mouthful	boccone
move	movere[Verb]
movie	film[Noun]
movies	film[Noun]
mozzarella	mozzarella[Noun]
much	tanto[Adjective]
mushroom	fungo[Noun]
music	musica
musical	musicale
musicality	musicalita'
musically	musicalmente
musicologist	musicologo[Noun]
muskox	bue muschiato[Noun]
muskoxen	buoi muschiati[Noun]
mussel	cozza[Noun]
mussels	cozze[Noun]
must	dovere[Verb]
mustache	baffi
mustached	baffuto
mustard	mostarda
mutagenic	mutagenico
mutant	mutante
mutants	mutanti
mutated	mutato
mutation	mutazione
mutations	mutazioni
mute	muto
mutilate	mutilare
mutilated	mutilato
mutilates	mutilati
mutilation	mutilazione
mutilations	mutilazioni
mutilator	mutilatore
my	mio, m ; mia, f
mycobacteria	micobatterio
mycology	micologia
mycoplasma	micoplasma
mycosis	micosi
mycotic	micotico
myeline	mielina
myelinization	mielinizazione
myeloid	mieloide
myocardial	miocardico
myocarditis	miocardite
myocardium	miocardio
myofibril	miofibrilla
myoglobin	mioglobina
myopia	miopia
myopic	miope
myopically	miopicamente
myosin	miosina
myosotis	miosite
myotonia	miotonia
myrrh	mirra
mysteries	misteri
mysterious	misterioso
mystery	mistero
mystic	mistico
mystify	mistificare[Verb]
myth	mito
mythic	mitico
mythical	mìtico[Adjective]
mythologic	mitologico
mythology	mitologia
mythomania	mitomania
mythomaniac	mitomane
myths	miti
nadir	nadir
nag	pisello
naiad	naiade
nail	chiodo
nail	unghia (finger)
nailed	inchiodato
nailing	inchiodando
nails	chiodi
nails	unghie (fingers)
naive	ingenuo
naively	ingenuamente
naiveness	ingenuita\
naivety	ingenuita\
naked	nudo
nakedly	nudamente
nakedness	nudita\
name	dire[Verb]
name	nome
nameable	nominabile
named	chiamato
nameless	senza nome
namelessly	anonimamente
namelessness	anonimita\
namely	esplicitamente
names	nomi
namesake	omonimo[Noun]
nanny	governante
nanogram	nanogrammo
nanograms	nanogrammi
nanometer	nanometro
nanometers	nanometri
nanosecond	nanosecondo
nanoseconds	nanosecondi
nap	pennichella
nape	nuca
naphtha	nafta[Noun]
napkin	tovagliolo
napkins	tovaglioli
narcissistic	narcisistico
narcissus	narciso
narcist	narcisista
narcosis	narcosi
narcotic	narcotico
narcotics	narcotici
narcotized	narcotizzato
narrate	narrare
narration	narrazione
narrators	narratore
narrow	stretto
narrowed	ristretto
narrowminded	di mente ottusa[Adjective]
narrowness	strettezza[Noun]
nasal	nasale
nascent	nascente
nasturtium	nasturzio
nasty	sudicio; brutto(as a person)[Adjective]
natant	natante
nation	nazione
national	nazionale
nationalism	nazionalismo
nationalisms	nazionalismi
nationalist	nazionalista
nationalists	nazionalisti
nationality	nazionalita'
nations	nazioni
native	nativo; indigeno(aborigines)[Noun]
nativity	nativita'
nattier	piu' elegante
nattily	elegantemente
nattiness	eleganza
natty	elegante
natural	naturale
naturalism	naturalismo
naturalist	naturalista
naturalization	naturalizzazione[Noun]
nature	natura
naught	nulla; niente; zero[Noun]
naughty	cattivo[Adjective]
nausea	nausea
nauseas	nauseabondo[Adjective]
nautical	nautico
naval	navale
navel	ombelico
navigability	navigabilita'
navigable	navigabile
navigate	navigare
navigation	navigazione[Noun]
navigator	navigatore[Noun]
navy	marina; flotta[Noun]
nay	anzi[Adverb]
near	vicino, prossimo(adjs); avvicinarsi(verb) 
nearly	quasi[Adverb]
nearsighted	miope[Adjective]
neat	accurato(as in accurate); grazioso(as in dainty); ordinato(as in tidy)[Adjective]
neatness	accuratezza; pulizia(as in elegance)[Noun]
necessarily	necessariamente[Adverb]
necessary	necessario[Adjective]
necessitate	necessitare[Verb]
necessity	necessita\[Noun]
neck	collo[Noun]
necklace	collana[Noun]
need	abbisognare(verb); bisogno, mancanza(nouns)
needful	necessario(adj & noun)
needfully	necessariamente[Adverb]
needless	inutile[Adjective]
needy	bisognoso[Adjective]
negation	negazione[Noun]
negative	negativa(noun); negativo(adj)
negatively	negativamente[Adverb]
neglect	negligere[Verb]
negligence	negligenza[Noun]
negligent	negligente[Adjective]
negotiate	negoziare[Verb]
negotiation	negoziazione[Noun]
neighbor	vicino[Noun]
neighborhood	vicinanza[Noun]
neighborly	da buon vicino[Adjective]
neither	ne\[Conjunction]
nephew	nipote[Noun]
nerve	nervo; coraggio(as in guts or courage)[Noun]
neuralgia	nevralgia[Noun]
neuritis	neurite[Noun]
neuter	neuto(in grammar)[Adjective]
neutral	neutrale(adj. & noun)
never	mai[Adverb]
nevertheless	nonostante, tuttavia[Adverb]
new	nuovo[Adjective]
newly	nuovamente[Adverb]
news	notizie(pl)[Noun]
newsagent	giornalaio[Noun]
newspaper	giornale[Noun]
newspapers	i giornali[Noun]
next	(Adjectives)vicino, seguente, prossimo, a lato(besides); (Adverb)in seguito
nib	pennino[Noun]
nibble	rodere; abboccare(fish)[Verb]
nice	gentile[Adjective]
nicely	gentilmente[Adverb]
nick	tacca[Noun]
nickel	nickel[Noun]
nickname	soprannome[Noun]
nicotine	nicotina[Noun]
night	notte[Noun]
nitwit	sciocco[Noun]
nix	no
no	no[Adverb]
nobility	nobilta\[Noun]
noble	nobile[Adjective]
nobleman	nobile[Noun]
nobodies	nessuni[Noun]
nobody	nessuno[Noun]
nod	far cenno di testa(verb); cenno di testa(noun)
noise	rumore[Noun]
noiseless	senza rumore; tranquillo[Adjective]
noiselessly	tranquillamente[Adverb]
noisily	rumorosamente[Adverb]
noisy	rumoroso[Adjective]
nominal	nominale[Adjective]
nominate	nominare[Verb]
nominee	persona designata[Noun]
none	nessuno[Pronoun]
nonsense	assurdita\[Pronoun]
nonskid	non sdrucciolevole[Adjective]
nonstop	continuo; diretto(as train or plane flight)[Adjective]
nose	naso[Noun]
not	non[Preposition]
notebook	quaderno
notebooks	quaderni
nothing	niente
oaf	zoticone
oafish	goffo
oafishly	goffamente
oafishness	buzzurraggine[Noun]
oafs	zoticoni
oak	quercia
oaken	di quercia
oaks	quercie
oakwood	legno di quercia
oar	remo
oared	dotato di remi[Adjective]
oars	remi
oarsman	rematore
oarsmanship	abilita/ del rematore[Noun]
oasis	oasi
oat	avena
oatcake	focaccia d'avena
oatcakes	focaccie d'avena
oaten	d'avena[Adjective]
oath	giuramento
oath	imprecazione
oaths	giuramenti
oaths	imprecazioni
oatmeal	farina d'avena
oats	avena[Noun]
obbligato	obbligato[Adjective]
obduracy	testardaggine[Noun]
obdurate	testardo[Noun]
obdurately	caparbiamente[Adverb]
obdurateness	testardaggine[Noun]
obedience	ubbidienza
obedient	ubbidiente
obediently	ubbidientemente[Adverb]
obelisk	obelisco
obese	obeso
obesity	obesita'
obey	ubbidire
obfuscate	offuscare
obfuscated	offuscato
obfuscater	offuscatore
obfuscates	offusca
obituaries	necrologi
obituary	necrologio
object	obiettivo, scopo
object	oggetto
objection	obiezione
objections	obiezioni
objective	obiettivo
objectives	obiettivi
objector	obiettore
objectors	obiettori
objects	oggetti
objet	obiettare
oblation	oblazione
oblations	oblazioni
obligate	obbligare
obligated	obbligato/a
obligates	obbliga
obligation	obbligo
obligatory	obbligatorioo
oblique	obliquo
obliterate	cancellare
obliterated	cancellato
obliterates	cancella
obliteration	cancellatura
obliterations	cancellature
oblivion	oblio
oblong	oblungo
oblong	rettangolare
oblongated	oblungato
obloquy	diffamazione
obnoxious	sgradevole
obnoxiously	sgradevolmente
obnoxiousness	sgradevolezza
oboe	oboe
oboist	oboista
obscene	osceno
obscenities	oscenita'
obscenity	oscenita'
obscurant	oscurante
obscurantism	oscurantismo
obscurantist	oscurantista
obscuration	oscuramento
obscurations	oscuramenti
obscure	oscuro
obscure	sconosciuto
obscured	offuscato
obscurity	oscurita'
obsequies	esequie
obsequious	ossequioso
observable	osservabile
observable	visibile
observance	osservanza
observances	osservanze
observant	osservante
observation	osservazione
observations	osservazioni
observatories	osservatori
observatory	osservatorio
observe	osservare
observed	osservato
observer	osservatore
observers	osservatori
observes	osserva
observing	osservando
obsess	ossessionare
obsessed	ossesso
obsesses	ossessa
obsession	ossessione
obsessions	ossessioni
obsessive	ossessivo
obsessively	ossessivamente
obstacle	ostacolo
obstacles	ostacoli
obstetric	ostetrico
obstetrical	ostetrico
obstetrician	ostetrico
obstetricians	ostetrici
obstetrics	ostetricia
obstinacy	ostinazione
obstinate	ostinato
obstinately	ostinatamente
obstinateness	ostinatezza
obstruct	ostruire
obstructed	ostruito
obstruction	ostruzione
obstructionism	ostruzionismo
obstructionist	ostruzionista
obstructions	ostruzioni
obstructive	ostrutivo
obtain	ottenere
obtainable	ottenibile
obtrude	imporre
obtrusion	intrusione
obtrusive	importuno
obtuse	ottuso
obtuseness	ottusita'
obvious	ovvio
obviously	ovviamente
occasion	occasione
occasional	occasionale
occasionally	occasionalmente
occasions	occasioni
occident	occidente
occidental	occidentale
occidentalize	occidentalizzare
occidentalized	occidentalizzato
occidentalizes	occidentalizza
occidentalizing	occidentalizzante
occipital	occipitale
occiput	occipite
occlude	occludere, ostruire
occluded	occluso
occludes	occlude
occlusion	occlusione
occlusions	occlusioni
occult	occulto
occultism	occultismo
occultist	occultista
occupant	occupante
occupants	occupanti
occupation	occupazione
occupational	occupazionale
occupations	occupazioni
occupied	occupato
occupy	occupare
occur	succedere
occurred	successo
occurs	succede
ocean	oceano
oceanarium	oceanario
oceanic	oceanico
oceanographer	oceanografo
oceanographers	oceanografi
oceanographic	oceanografico
oceanography	oceanografia
oceanologic	oceanologico
oceanologist	oceanologista
oceanology	oceanologia
oceans	oceani
o'clock	in punto[Adjective]
octagon	ottagono
octagonal	ottagonale
octane	ottano
octave	ottava
octogenarian	ottuagenario
octopus	polipo, piovra
ocular	oculare
oculist	oculista
oculomotor	oculomotore
odalisque	odalisca
odd	strano
oddball	persona strana, eccentrica
oddballs	persone strane, eccentriche
odder	piu' strano
oddest	il piu' strano
oddities	stranezze
oddity	stranezza
oddly	stranamente
oddment	avanzo
oddness	stranezza
odds	(at odds) in disaccordo
odds	(bets) posta
ode	ode
odious	odioso
odium	odio
odometer	contachilometri
odometers	contachilometri
odontologst	odontologo
odontology	odontologia
odor	odore
odorant	odorante
odoriferous	odoroso, fragrante, profumato
odorless	inodoro
odorous	odoroso
odors	odori
oenology	enologia
o'er	sopra
of	di
off	lontano da
offal	frataglie
offbeat	insolito
offend	offendere
offended	offeso
offends	offende
offense	(mil.) attacco
offense	offesa
offenses	offese
offensive	(mil.)offensiva
offensive	offensivo; sgradevole
offensives	(mil.) offensive
offer	v. offrire
offered	offerta
offering	offerta
offerings	offerte
offers	v. offre
offertory	offertorio
offhand	estemporaneo, improvvisato
offhanded	estemporaneo, improvvisato
offhandedly	estemporaneo, improvvisato
office	ufficio
officeholder	ufficiale, funzionario
officeholders	ufficiali, funzionari
officemate	collega d'ufficio
officer	ufficiale
officers	ufficiali
offices	uffici
official	ufficiale
officialdom	burocrazia
officialese	gergo burocratico
officialism	burocrazia
officially	ufficialmente
officious	ufficioso
officiously	ufficiosamente
officiousness	ufficiosita'
offing	mare al largo
offish	distante, riservato
offishly	in modo distante o riservato
offishness	distante, riservato
offload	scaricare
offscreen	fuori schermo
offset	controbilanciare, compensare
offsets	controbilancia, compensa
offshoot	germoglio
offshore	lontano da terra
offside	fuori gioco
offspring	prole
offstage	fuori scena
oft	spesso, sovente,frequente
often	spesso, sovente,frequente
oftentimes	spesso, sovente, frequente
ofttimes	spesso, sovente, frequente
ogive	ogiva
ogle	n. sguardo amoroso
ogle	v. guardare in modo amoroso
ogled	guardato in modo amoroso
ogler	uno che guarda in modo amoroso
ogles	guarda in modo amoroso
ogre	orco
ogress	orca
oil	olio; petrolio
oilcloth	tela cerata
oiled	oliato
oilskin	tela impermeabilizzata
oily	oleoso
ointment	unguento
ointments	unguenti
old	vecchio
olden	vecchio
older	piu' vecchio
oldest	il piu' vecchio
oldfangled	antiquato
oldster	anziano
oldsters	anziani
oleander	oleandro
oleanders	oleandri
olfactory	olfattivo
oligarch	oligarca
oligarchic	oligarchico
oligarchy	oligarchia
oligopoly	oligopolio
oligosaccharide	oligosaccaride
oligosaccharides	oligosaccaridi
olive	olivo, oliva
olives	olive
olivine	olivina
olympiad	olimpiade
omega	omega
omelet	frittata
omelets	frittate
omen	presagio
omens	presagi
omental	omentale
omentum	omento
one	one
ostrich	struzzo[Noun]
ostriches	struzzi[Noun]
pa	papa[Noun]
pace	passo
paced	avente un certo passo[Adverb]
pacem	chi va al passo, chi fa l'andatura, battistrada, ambasciatore
pacemaker	Stimolatore di battito cardiaco[Noun]
pacemaking	Facendo Pace[Verb]
paces	pace[Noun]
pachyderm	pachiderma[Noun]
pachydermal	pachiderma[Noun]
pacifiable	pacificabile[Adjective]
pacific	pacifico
pacifically	pacificamente[Adjective]
pacifications	pacificazioni[Noun]
pacificator	paciere[Noun]
pacificators	pacieri[Noun]
pacificist	pacifista[Noun]
pacifier	ciuccio[Noun]
pacifier	ciucciotto
pacifism	pacifismo
pacifist	pacifista
pacify	pacificare[Verb]
pack	pacco[Noun]
package	pacchetto[Noun]
package	pacco
packaged	confezionato
packaged	imballato
packages	pacchetti[Noun]
packages	pacchi
packaging	imballaggio/imballo[Noun]
packed	impacchettato/imballato[Adjective]
packet	pacchetto[Noun]
packetization	pacchettizzazione[Noun]
packets	pacchetti[Noun]
packs	pacchi[Noun]
pact	patto
pacts	patti[Noun]
pad	imbottitura[Noun]
padded	Imbottito[Adjective]
paddle	remo
padlock	lucchetto
padre	padre
padrone	padrone
paella	paella, risotto[Noun]
paestum	paestum
pagan	pagano
paganish	pagano[Noun]
paganism	paganesimo
paganization	paganizzazione[Noun]
paganize	paganizzare[Verb]
paganized	paganizzati[Adjective]
page	pagina
pages	pagine
paginate	impaginare
paginated	impaginato
pagoda	pagoda
pagodas	pagode
paid	pagato
pain	dolore
painful	doloroso
painfully	dolorosamente
painless	indolore
painlessly	senza dolore[Adverb]
painlessness	assenza di dolore[Noun]
pains	dolori
paint	pittura
paintbrush	pennello
painted	dipinto
painter	pittore
painters	pittori
painting	dipinto
paintings	dipinti
paints	pitture
pair	paio
pairs	pari
palace	palazzo
palaces	palazzi
paladin	paladino
parametric	parametri[Adjective]
patch	toppa
patches	toppe
path	sentiero[Noun]
patience	pazienza[Noun]
patient	paziente[Adjective]
patiently	pazientemente[Adverb]
patina	patina[Noun]
patriarch	patriarca[Noun]
patriarchal	patriarcale[Adjective]
patriarchate	patriarcato[Noun]
patrician	patrizio[Adjective]
patricide	patricida[Noun]
patrimonial	patrimoniale[Adjective]
patrimony	patrimonio[Noun]
patriot	patriota[Noun]
patriotic	patriottico[Adjective]
patriotism	patriottismo[Noun]
patrol	pattuglia[Noun]
patroller	persona di pattuglia[Noun]
patron	patrono[Noun]
patronage	patronaggio[Noun]
patroness	patrona[Noun]
people	la gente[Noun]
pepper	pepe[Noun]
peppercorn	grano di pepe[Noun]
peppermint	menta peperita[Noun]
peppery	pepato, acre, pungente[Adjective]
pepsin	pepsina[Noun]
permutation	permutazione[Noun]
permutations	permutazioni[Noun]
permute	permutare[Verb]
perorate	perorare
perpendicular	perpendicolare[Adjective]
perpendicularly	perpendicolarmente[Adverb]
perpendiculars	perpendicolari[Noun]
perpetrate	perpetrare[Verb]
perpetrated	perpetrato[Verb]
perpetual	perpetuo[Adjective]
petard	petardo[Noun]
petroleum	petrolio[Noun]
physicist	fisico
physics	fisica
play	gioco, partita, commedia[Noun]
plea	preghiera, domanda,(argomento di) difesa[Noun]
please	piacere[Verb]
pleaser	oblativo[Adjective]
plenty	tanto, molto[Adverb]
pliers	pinza[Noun]
plight	situazione, critica
plod	camminare a stentio, sgobbare[Verb]
plot	congiura, cospirazione, trama[Noun]
pollute	inquinare[Verb]
pollution	inquinamento[Noun]
polyester	poliestere[Noun]
poof	froggio[Noun]
pool	piscina[Noun]
pools	piscina[Noun]
poop	cacca[Noun]
poor	povero[Adjective]
poorer	più povero[Adjective]
poorest	il più povero
poorness	povertà[Noun]
popcorn	popcorn[Noun]
pope	papà[Noun]
poppet	carino[Noun]
popular	popolare[Adjective]
popularity	popolarità[Noun]
porcelain	porcelano[Noun]
pork	maiale[Noun]
pork	porco[Noun]
porkies	bugie[Noun]
porn	pornogrofia[Noun]
pornographer	pornograficista[Noun]
pornographic	pornografico[Adjective]
position	posizione[Noun]
position	posto[Noun]
possibility	possibilita\[Noun]
possible	possibile[Adjective]
poster	cartellone[Noun]
postpone	rimandare[Verb]
potato	patata[Noun]
potential	potenziale[Noun]
potentiometer	potenziometro[Noun]
potentiometers	potenziometri[Noun]
potion	pozione[Noun]
potions	pozioni[Noun]
practical	pratico/a[Adjective]
praise	lodare[Verb]
prawn	gamberi[Noun]
precipitation	precipitazione[Noun]
precipitator	precipitatore[Noun]
precise	preciso[Adjective]
precisely	precisamente[Adverb]
precision	precisione[Noun]
preclinical	preclinico[Adjective]
precocious	precoce[Noun]
precociously	precocemente[Adverb]
pregnancy	gravidanza
pregnant	gravida
prelature	prelatura
project	progetto[Noun]
projecting	proiettare[Verb]
proletarian	proletario[Adjective]
proletarian	proletario[Adjective]
proliferative	prolifero[Adjective]
proliferative	prolifico[Adjective]
prolific	prolifico[Noun]
provider	fornitore[Noun]
providers	fornitori[Noun]
provides	fornisce[Verb]
providing	fornire, fornendo[Verb]
providing	che fornisce[Verb]
province	provincia[Noun]
provinces	province[Noun]
provincial	provinciale[Adjective]
provincialism	provincialismo[Noun]
provitamin	provitamina[Noun]
provocation	provocazione[Noun]
pubis	pube[Noun]
public	pubblico[Adjective]
pudendal	pudendo[Adjective]
pudendum	pudendo[Adjective]
purchasable	acquistabile[Adjective]
purchase	acquisto[Noun]
purchased	acquistato[Verb]
purchaser	acquirente[Noun]
purchasers	acquirenti[Noun]
purchases	acquisti[Noun]
purchasing	l'acquistare[Noun]
pussy	micio
put	mettere[Verb]
quackery	ciarlataneria
quacks	ciarlatani
quadrangle	quadrangolo
quadrangles	quadrangoli
quadrangular	quadrangolare
quadrant	quadrante
quadrantal	quadrantale
quadrants	quadranti
quadraphonic	quadrafonico
quadraphony	quadrafonia
quadrille	quadriglia
quadriplegic	quadriplegico
quadrivalent	quadrivalente
quadruped	quadrupede
quadruple	quadruplo
quadruplicate	quadruplicare
quadruplicated	quadruplicato
quaff	tracannare
quagmire	pantano
quagmires	pantani
quail	quaglia
quaint	antiquato
quake	tremito; v. tremare
quaked	tremato
quakes	trema
qualification	qualificazione
qualified	qualificato
quarantine	quarantena
quark	quark
quarrel	lite
quarrel	v. litigare
quarrelsome	litigioso
quarry	cava
quarter	quarto
quarterage	pagamento trimestrale
quarterdeck	cassero
quarterdecks	casseri
quarterly	trimestrale
quartet	quartetto
quartets	quartetti
quartz	quarzo
quartzite	quarzite
quasar	quasar
quash	v. schiacciare
quashed	schiacciato
quaternary	quaternario
quaver	v. tremare
quavery	tremolante
quay	molo
quean	prostituta
queasy	nauseabondo
queen	regina
queens	regine
queer	omosessuale
queer	strano
queerer	piu' strano
quell	v. reprimere
quench	estinguere, spegnere
quern	macinino
query	domanda
query	v. chiedere
quest	ricerca
question	domanda
question	questione
questionnaire	questionario
queue	fila, coda
quibble	cavillo
quibble	v. cavillare
quick	rapido, svelto
quicklime	calce viva
quickly	rapidamente
quickness	rapidita', prontezza
quicksand	sabbia mobile
quickset	di piante vive
quicksilver	mercurio
quid	sterlina
quiescent	quiescente
quiet	quieto, silenzioso
quiet	v. aquietare, calmare
quill	penna d'oca (per scrivere)
quilt	trapunta
quilt	v. trapuntare
quince	mela cotogna
quinine	chinino
quintessence	quintessenza
quintet	quintetto
quintets	quintetti
quintuplicate	quintuplicare
quip	battuta arguta
quire	misura di carta (24 fogli)
quirk	stranezza
quirks	stranezze
quirt	frustino
quisling	collaborazionista
quit	v. lasciare, smettere
quitclaim	rinuncia
quiver	faretra
quiz	quiz
quod	prigione
quorum	quorum
quota	quota
quotas	quote
quotation	citazione
quotation	quotazione
quotations	citazioni
quotations	quotazioni
quote	citazione
quote	v. citare
quote	v. quotare
quoted	citato
quotes	citazioni
quotidian	quotidiano
quotient	quoziente
quotients	quozienti
r	r
rabbet	scanalatura
rabbeting	scanalando - unendo ad incastro[Verb]
rabbi	rabbino
rabbinate	rabbinato
rabbinic	rabbinico
rabbinical	rabbinico
rabbinically	rabbinicamente[Adverb]
rabbinism	rabbinismo
rabbit	coniglio
rabbitry	allevamento di conigli
rabbits	conigli
rabbity	di coniglio - pieno di conigli[Adjective]
rabble	folla
rabbled	agitato - rimescolato[Adjective]
rabblement	accozzaglia, massa[Noun]
rabid	rabbioso
rabidity	furia
rabidly	rabbiosamente
rabies	rabbia
raccoon	procione lavatore
raccoons	procioni - orsi lavatori[Noun]
race	corsa
racecourse	ippodromo
racehorse	corsa di cavalli
racehorses	cavalli da corsa
racemic	racemico
racemization	racemizzazione
racemize	racemizzare
racer	corridore[Noun]
racers	corridori[Noun]
races	corse[Noun]
racetrack	ippodromo
rachides	rachide[Noun]
rachis	rachide[Noun]
rachitic	rachitico
rachitis	rachitismo[Noun]
racial	razziale
racialism	razzismo[Noun]
racialist	razzista[Noun]
racialistic	razzistico - razzialista[Adjective]
racially	razzialmente
racism	razzismo
racist	razzista
racists	razzisti
rack	rastrelliera - scaffale - cremagliera[Noun]
racket	chiasso - organizzazione criminale - [Noun]
racketeer	truffatore - ricattatore[Noun]
racketeering	truffe - ricatti - estorsioni di denaro[Noun]
racketeers	truffatori - ricattatori[Noun]
rackety	chiassoso - festaiolo[Adjective]
raconteur	raccontatore[Noun]
racoon	procione - orso lavatore[Noun]
racy	genuino - salace - di sapore caratteristico[Adjective]
rad	radicale (abbr)[Noun]
radar	radar
radars	radar (pl)[Noun]
raddle	tingere con ocra rossa - imbellettare[Verb]
radial	radiale
release	rilasciare[Verb]
renewal	rinnovo[Noun]
renewed	rinnovato[Adjective]
renewer	rinnovatore[Noun]
report	relazione[Noun]
reported	riferito[Verb]
reports	relazioni[Noun]
repositioned	spostato[Verb]
repost	reindirizzare[Verb]
represent	rappresentare[Verb]
return	ritornare[Verb]
riot	sommossa, tumulto
riotous	tumultuoso, sfrenato, scatenato
road	Road[Noun]
road	strada[Noun]
roadbed	massicciata[Noun]
roads	strade[Noun]
roadstead	ormeggio[Noun]
roadway	carreggiata[Noun]
roadways	carreggiate[Noun]
roar	ruggire[Verb]
rob	rubare[Verb]
robber	ladro[Noun]
robberies	furti[Noun]
robbers	ladri[Noun]
robbery	furto[Noun]
robust	robusto[Adjective]
room	stanza
roomy	a spazioso
run	correre[Verb]
sabbat	saturday/sabato[Noun]
sabbath	sabba
sabbatic	sabbatico
sabbatical	sabbatico
saber	sciabola
saberlike	simile ad una sciabola
sabertooth	dai denti a sciabola
sable	baio
sables	sabbie[Noun]
sabot	borra
sabotage	sabotaggio
sabotaged	sabotato
sabotages	sabotaggi
sabotaging	sabotaggio
saboteur	sabotatore
saccharide	saccaride
saccharides	saccaridi
saccharification	saccarificazione
saccharify	saccarificare
saccharimeter	saccarimetro
saccharimeters	saccarimetri
saccharimetry	saccarimetria
saccharin	saccarina[Noun]
saccharine	saccarina
saccharometer	saccarometro[Noun]
saccharometers	saccarometri[Noun]
saccharomyces	saccaromiceti
saccharose	saccarosio
sacerdotal	sacerdotale
sacks	sacchi[Noun]
sacral	sacrale
sacrament	sacramento
sacramental	sacramentale
sacramentalism	sacramentalismo
sacramentalist	sacramentalista
sacraments	sacramenti
sacrarium	sacrario
sacred	sacro[Adjective]
sacrestia	sacrestia
sacrifice	sacrificio[Noun]
sacrificed	sacrificato
sacrificers	sacrificatori
sacrifices	sacrifici
sacrificing	sacrificando[Verb]
sacrilege	sacrilego[Noun]
sacrilegious	sacrilego[Adjective]
sacristan	sacrestano[Noun]
sacristy	sacrestia[Noun]
sacroiliac	sacroiliaco[Adjective]
sacrosanct	sacrosanto
sad	triste
saddle	sella
saddler	sellaio[Noun]
saddles	selle[Noun]
sadism	sadismo
sadist	sadista[Noun]
